annotation_id,annotator,created_at,duygu_label,hizmet_label,id,kullanım_label,lead_time,text,updated_at
1.0,1.0,2024-08-05T09:38:29.876946Z,"[{""start"":12,""end"":17,""text"":""mutlu"",""labels"":[""positive""]}]",,1.0,,17.656,kocişime al mutlu ol,2024-08-05T09:38:29.876946Z
2.0,1.0,2024-08-05T09:38:37.946037Z,"[{""start"":12,""end"":19,""text"":""memnun "",""labels"":[""positive""]}]",,2.0,,7.818,oğul al gel memnun kal,2024-08-05T09:38:37.946037Z
3.0,1.0,2024-08-05T09:40:21.557739Z,"[{""start"":23,""end"":39,""text"":""kargolama iyiydi"",""labels"":[""positive""]},{""start"":40,""end"":64,""text"":""ses kalitesinide beğendi"",""labels"":[""positive""]},{""start"":16,""end"":22,""text"":""memnun"",""labels"":[""positive""]}]","[{""start"":23,""end"":39,""text"":""kargolama iyiydi"",""labels"":[""Teslimat ve Paketleme""]}]",3.0,"[{""start"":40,""end"":64,""text"":""ses kalitesinide beğendi"",""labels"":[""Ses kalitesi""]}]",103.396,kız al şimdilik memnun kargolama iyiydi ses kalitesinide beğendi kız,2024-08-05T09:40:21.557739Z
4.0,1.0,2024-08-05T09:40:49.242608Z,"[{""start"":0,""end"":20,""text"":""ses kalitesi çok iyi"",""labels"":[""positive""]},{""start"":21,""end"":37,""text"":""özen paketlenmis"",""labels"":[""positive""]}]","[{""start"":21,""end"":37,""text"":""özen paketlenmis"",""labels"":[""Teslimat ve Paketleme""]}]",4.0,"[{""start"":0,""end"":20,""text"":""ses kalitesi çok iyi"",""labels"":[""Ses kalitesi""]}]",27.365,ses kalitesi çok iyi özen paketlenmis olmasida çok hoşuma git,2024-08-05T09:40:49.242608Z
5.0,1.0,2024-08-05T09:41:10.194691Z,"[{""start"":65,""end"":76,""text"":""kargo hızlı"",""labels"":[""positive""]}]","[{""start"":65,""end"":76,""text"":""kargo hızlı"",""labels"":[""Teslimat ve Paketleme""]}]",5.0,,20.656,diye olarak al beğen orijinal ürün gelmez kork ürün orijinal gel kargo hızlı,2024-08-05T09:41:10.194691Z
6.0,1.0,2024-08-05T09:41:28.146668Z,"[{""start"":24,""end"":43,""text"":""teşekkür Mediamarkt"",""labels"":[""positive""]}]","[{""start"":24,""end"":43,""text"":""teşekkür Mediamarkt"",""labels"":[""Satıcı""]}]",6.0,,17.713,efsane bir ürün orjinal teşekkür Mediamarkt,2024-08-05T09:41:28.146668Z
7.0,1.0,2024-08-05T09:42:24.262053Z,"[{""start"":0,""end"":10,""text"":""Mediamarkt"",""labels"":[""positive""]},{""start"":105,""end"":118,""text"":""ses gayet iyi"",""labels"":[""positive""]},{""start"":119,""end"":137,""text"":""mikrofonuda çok iy"",""labels"":[""positive""]},{""start"":27,""end"":47,""text"":""çok iyi kargolanmış "",""labels"":[""positive""]}]","[{""start"":0,""end"":10,""text"":""Mediamarkt"",""labels"":[""Satıcı""]},{""start"":27,""end"":47,""text"":""çok iyi kargolanmış "",""labels"":[""Teslimat ve Paketleme""]}]",7.0,"[{""start"":105,""end"":118,""text"":""ses gayet iyi"",""labels"":[""Ses kalitesi""]},{""start"":119,""end"":137,""text"":""mikrofonuda çok iy"",""labels"":[""Mikrofon kalitesi""]}]",55.881,Mediamarkt'ı aracılıyla al çok iyi kargolanmış sağlam bir şekil gel kesinlikle orijinal pub oyna için al ses gayet iyi mikrofonuda çok iyi,2024-08-05T09:42:24.262053Z
8.0,1.0,2024-08-05T09:42:38.796118Z,"[{""start"":10,""end"":19,""text"":"" sorunsuz"",""labels"":[""positive""]},{""start"":5,""end"":10,""text"":""paket"",""labels"":[""positive""]}]","[{""start"":10,""end"":19,""text"":"" sorunsuz"",""labels"":[""Teslimat ve Paketleme""]},{""start"":5,""end"":10,""text"":""paket"",""labels"":[""Teslimat ve Paketleme""]}]",8.0,,14.285,özen paket sorunsuz el ulaş,2024-08-05T09:42:38.796118Z
9.0,1.0,2024-08-05T09:43:12.037921Z,"[{""start"":0,""end"":10,""text"":""Mediamarkt"",""labels"":[""positive""]},{""start"":13,""end"":24,""text"":""hızlı yolla"",""labels"":[""positive""]}]","[{""start"":0,""end"":10,""text"":""Mediamarkt"",""labels"":[""Satıcı""]},{""start"":13,""end"":24,""text"":""hızlı yolla"",""labels"":[""Teslimat ve Paketleme""]}]",9.0,,32.98,Mediamarkt'ı hızlı yolla teşekkür,2024-08-05T09:43:12.037921Z
13.0,1.0,2024-08-05T09:44:28.390146Z,"[{""start"":0,""end"":14,""text"":""apple kalitesi"",""labels"":[""positive""]}]","[{""start"":0,""end"":14,""text"":""apple kalitesi"",""labels"":[""Orjinallik""]}]",13.0,,9.664,apple kalitesi tesekkurler,2024-08-05T09:44:28.390146Z
